departure_city,arrival_city,departure_station,arrival_station,travel_time,departure_coordinates,arrival_coordinates
Longueau,Paris,Longueau,Paris Gare du Nord,60,"49.8646780,2.34993700","48.8801360,2.35485100"
Longueau,Saint-Just-en-Chaussée,Longueau,Saint-Just-en-Chaussée,22,"49.8646780,2.34993700","49.5034860,2.42958000"
Saint-Just-en-Chaussée,Clermont,Saint-Just-en-Chaussée,Clermont de l'Oise,8,"49.5034860,2.42958000","49.3849830,2.41772700"
Clermont,Creil,Clermont de l'Oise,Creil,9,"49.3849830,2.41772700","49.2646160,2.47081900"
Creil,Paris,Creil,Paris Gare du Nord,29,"49.2646160,2.47081900","48.8801360,2.35485100"
Paris,Creil,Paris Gare du Nord,Creil,26,"48.8801360,2.35485100","49.2646160,2.47081900"
Creil,Longueau,Creil,Longueau,36,"49.2646160,2.47081900","49.8646780,2.34993700"
Longueau,Amiens,Longueau,Amiens,4,"49.8646780,2.34993700","49.8905840,2.30827700"
Amiens,Abbeville,Amiens,Abbeville,25,"49.8905840,2.30827700","50.1021750,1.82453800"
Abbeville,Noyelles-sur-Mer,Abbeville,Noyelles-sur-Mer,8,"50.1021750,1.82453800","50.1873050,1.70453000"
Noyelles-sur-Mer,Rue,Noyelles-sur-Mer,Rue,6,"50.1873050,1.70453000","50.2731470,1.67569700"
Rue,Rang-du-Fliers,Rue,Rang-du-Fliers - Verton - Berck,9,"50.2731470,1.67569700","50.4158450,1.64804800"
Rang-du-Fliers,Étaples,Rang-du-Fliers - Verton - Berck,Étaples - Le Touquet,7,"50.4158450,1.64804800","50.5170220,1.64190900"
Étaples,Boulogne-sur-Mer,Étaples - Le Touquet,Boulogne sur Mer,16,"50.5170220,1.64190900","50.7157930,1.60973600"
Paris,Longueau,Paris Gare du Nord,Longueau,70,"48.8801360,2.35485100","49.8646780,2.34993700"
Boulogne-sur-Mer,Calais,Boulogne sur Mer,Calais Ville,30,"50.7157930,1.60973600","50.9534660,1.85088500"
Boulogne-sur-Mer,Rinxent,Boulogne sur Mer,Marquise - Rinxent,9,"50.7157930,1.60973600","50.8066360,1.73011600"
Rinxent,Calais,Marquise - Rinxent,Calais Ville,24,"50.8066360,1.73011600","50.9534660,1.85088500"
Lille,Douai,Lille Flandres,Douai,18,"50.6365770,3.06987000","50.3716730,3.08995800"
Douai,Arras,Douai,Arras,14,"50.3716730,3.08995800","50.2868110,2.78015900"
Arras,Longueau,Arras,Longueau,34,"50.2868110,2.78015900","49.8646780,2.34993700"
Longueau,Creil,Longueau,Creil,33,"49.8646780,2.34993700","49.2646160,2.47081900"
Douai,Creil,Douai,Creil,104,"50.3716730,3.08995800","49.2646160,2.47081900"
Longueau,Arras,Longueau,Arras,33,"49.8646780,2.34993700","50.2868110,2.78015900"
Arras,Douai,Arras,Douai,12,"50.2868110,2.78015900","50.3716730,3.08995800"
Douai,Lille,Douai,Lille Flandres,22,"50.3716730,3.08995800","50.6365770,3.06987000"
Creil,Douai,Creil,Douai,103,"49.2646160,2.47081900","50.3716730,3.08995800"
Cambrai,Caudry,Cambrai,Caudry,12,"50.1765820,3.24119700","50.1116760,3.40933400"
Caudry,Busigny,Caudry,Busigny,7,"50.1116760,3.40933400","50.0395470,3.44643600"
Busigny,Saint-Quentin,Busigny,Saint-Quentin,14,"50.0395470,3.44643600","49.8405860,3.29770400"
Saint-Quentin,Compiègne,Saint-Quentin,Compiègne,34,"49.8405860,3.29770400","49.4219420,2.82364800"
Compiègne,Paris,Compiègne,Paris Gare du Nord,41,"49.4219420,2.82364800","48.8801360,2.35485100"
Paris,Compiègne,Paris Gare du Nord,Compiègne,41,"48.8801360,2.35485100","49.4219420,2.82364800"
Compiègne,Saint-Quentin,Compiègne,Saint-Quentin,33,"49.4219420,2.82364800","49.8405860,3.29770400"
Saint-Quentin,Aulnoye-Aymeries,Saint-Quentin,Aulnoye-Aymeries,29,"49.8405860,3.29770400","50.1977520,3.84343400"
Aulnoye-Aymeries,Maubeuge,Aulnoye-Aymeries,Maubeuge,12,"50.1977520,3.84343400","50.2729520,3.96676500"
Maubeuge,Aulnoye-Aymeries,Maubeuge,Aulnoye-Aymeries,10,"50.2729520,3.96676500","50.1977520,3.84343400"
Aulnoye-Aymeries,Saint-Quentin,Aulnoye-Aymeries,Saint-Quentin,29,"50.1977520,3.84343400","49.8405860,3.29770400"
Creil,Pont-Sainte-Maxence,Creil,Pont-Sainte-Maxence,7,"49.2646160,2.47081900","49.3097360,2.60289300"
Pont-Sainte-Maxence,Compiègne,Pont-Sainte-Maxence,Compiègne,12,"49.3097360,2.60289300","49.4219420,2.82364800"
Compiègne,Noyon,Compiègne,Noyon,12,"49.4219420,2.82364800","49.5776560,3.00747000"
Noyon,Chauny,Noyon,Chauny,10,"49.5776560,3.00747000","49.6111650,3.22348400"
Chauny,Tergnier,Chauny,Tergnier,6,"49.6111650,3.22348400","49.6597030,3.29746700"
Tergnier,Saint-Quentin,Tergnier,Saint-Quentin,12,"49.6597030,3.29746700","49.8405860,3.29770400"
Saint-Quentin,Busigny,Saint-Quentin,Busigny,14,"49.8405860,3.29770400","50.0395470,3.44643600"
Busigny,Caudry,Busigny,Caudry,8,"50.0395470,3.44643600","50.1116760,3.40933400"
